episode,reward,steps,success,collision,loss,epsilon
34,4.000000000000056,200,0.0,0.0,58.70120171091519,0.9831395048898272
35,-5.999999999999977,200,0.0,0.0,54.094211588162,0.9826479351373822
36,-102.6,26,0.0,1.0,95.83759327863271,0.9821566111698136
37,-113.79999999999998,38,0.0,1.0,50.068541462582196,0.9816655328642288
38,-114.99999999999997,90,0.0,1.0,72.07880207192567,0.9811747000977967
39,-107.79999999999995,158,0.0,1.0,66.64792110292312,0.9806841127477479
40,2.000000000000047,200,0.0,0.0,69.15874925994314,0.9801937706913741
41,-111.29999999999998,83,0.0,1.0,73.09459763020277,0.9797036738060285
42,-115.39999999999999,74,0.0,1.0,75.79585189946197,0.9792138219691255
43,8.000000000000028,200,0.0,0.0,73.75165462549776,0.978724215058141
44,-111.39999999999999,34,0.0,1.0,73.40446305022958,0.978234852950612
45,-120.50000000000006,195,0.0,1.0,55.08975069965116,0.9777457355241367
46,-100.6,46,0.0,1.0,100.31163657440439,0.9772568626563747
47,-7.9999999999999805,200,0.0,0.0,67.49000817884226,0.9767682342250465
48,-114.99999999999997,50,0.0,1.0,85.4512624938786,0.976279850107934
49,-102.6,26,0.0,1.0,65.82343314401805,0.9757917101828801
50,-112.89999999999993,199,0.0,1.0,64.44290329152766,0.9753038143277888
51,-13.999999999999957,200,0.0,0.0,72.74698671562132,0.974816162420625
52,-115.79999999999998,38,0.0,1.0,47.23511966033593,0.9743287543394147
53,-3.999999999999965,200,0.0,0.0,69.52348371194675,0.973841589962245
54,-117.89999999999996,149,0.0,1.0,54.12496697236377,0.973354669167264
55,-111.29999999999998,63,0.0,1.0,89.78201489115045,0.9728679918326804
56,-115.69999999999996,107,0.0,1.0,77.21139714261082,0.972381557836764
57,2.1316282072803006e-14,200,0.0,0.0,63.31336188388988,0.9718953670578457
58,-106.6,46,0.0,1.0,77.46144699301247,0.9714094193743169
59,4.00000000000003,200,0.0,0.0,68.34236619661561,0.9709237146646298
60,-109.6,36,0.0,1.0,36.008112393681785,0.9704382528072976
61,-119.1,121,0.0,1.0,65.93365417276162,0.9699530336808939
62,-126.1,171,0.0,1.0,68.39409354110167,0.9694680571640535
63,-18.00000000000003,200,0.0,0.0,83.59083796337246,0.9689833231354715
64,-9.999999999999995,200,0.0,0.0,63.7875405005645,0.9684988314739038
65,-121.2,92,0.0,1.0,60.85503528210456,0.9680145820581669
66,-1.9999999999999938,200,0.0,0.0,79.7897920465935,0.9675305747671379
67,-8.000000000000002,200,0.0,0.0,59.7967003702186,0.9670468094797544
68,-15.999999999999966,200,0.0,0.0,67.69004983574152,0.9665632860750146
69,-103.89999999999999,49,0.0,1.0,58.267900284151644,0.9660800044319772
70,2.3203661214665772e-14,200,0.0,0.0,63.156408035168425,0.9655969644297613
71,-104.19999999999997,122,0.0,1.0,75.52521017595332,0.9651141659475465
72,-103.89999999999998,89,0.0,1.0,61.88782971059339,0.9646316088645728
73,-7.9999999999999805,200,0.0,0.0,57.55101789013483,0.9641492930601405
74,-109.69999999999997,107,0.0,1.0,57.85541389281992,0.9636672184136105
75,6.000000000000014,200,0.0,0.0,74.12556364389137,0.9631853848044037
76,-113.19999999999997,112,0.0,1.0,56.50542935614275,0.9627037921120016
77,-113.39999999999998,54,0.0,1.0,47.44439035474702,0.9622224402159457
78,-118.39999999999998,64,0.0,1.0,38.511893481365405,0.9617413289958378
79,-106.6,26,0.0,1.0,88.07305294389909,0.9612604583313399
80,-7.999999999999989,200,0.0,0.0,63.24516087552533,0.9607798281021742
81,-30.00000000000005,200,0.0,0.0,70.08800283407793,0.9602994381881231
82,-3.999999999999995,200,0.0,0.0,50.12413658739067,0.9598192884690291
83,-114.29999999999998,73,0.0,1.0,69.83460163294453,0.9593393788247946
84,-3.999999999999979,200,0.0,0.0,75.85506265819073,0.9588597091353822
85,-108.89999999999999,19,0.0,1.0,55.38468337137448,0.9583802792808146
86,4.000000000000028,200,0.0,0.0,61.97176349192858,0.9579010891411742
87,-95.59999999999998,196,0.0,1.0,54.065672580798974,0.9574221385966036
88,6.000000000000032,200,0.0,0.0,66.24973998231813,0.9569434275273054
89,-113.69999999999999,67,0.0,1.0,51.734368788467634,0.9564649558135419
90,-4.440892098500626e-16,200,0.0,0.0,66.16622177208774,0.9559867233356352
91,1.4432899320127035e-15,200,0.0,0.0,67.35345564633607,0.9555087299739674
92,-108.99999999999999,70,0.0,1.0,68.73359014838934,0.9550309756089804
93,-5.999999999999979,200,0.0,0.0,67.8978978797514,0.954553460121176
94,-98.39999999999999,64,0.0,1.0,65.73754451423883,0.9540761833911156
95,-10.000000000000032,200,0.0,0.0,61.35867710235529,0.95359914529942
96,-5.999999999999989,200,0.0,0.0,45.929305098550394,0.9531223457267703
97,13.999999999999961,200,0.0,0.0,56.031347793862224,0.952645784553907
98,-1.999999999999985,200,0.0,0.0,57.45857481286861,0.9521694616616301
99,-112.99999999999996,150,0.0,1.0,62.11861452514927,0.9516933769307994
100,4.0000000000000036,200,0.0,0.0,66.53249425720423,0.951217530242334
101,-21.99999999999998,200,0.0,0.0,57.15463889812119,0.9507419214772129
102,-98.89999999999999,159,0.0,1.0,65.21368288916518,0.9502665505164744
103,2.00000000000003,200,0.0,0.0,51.33372546564787,0.9497914172412162
104,-20.000000000000114,200,0.0,0.0,42.552515864232554,0.9493165215325956
105,14.000000000000009,200,0.0,0.0,54.88779353837483,0.9488418632718294
106,-90.69999999999995,177,0.0,1.0,47.305580114893154,0.9483674423401935
107,-110.8,28,0.0,1.0,56.71446766631146,0.9478932586190235
108,-5.999999999999938,200,0.0,0.0,62.457791767157616,0.9474193119897141
109,-109.59999999999998,36,0.0,1.0,44.379609085309006,0.9469456023337193
